Event,Comparison,Remark
GW150914,good,
GW151012,ok,
GW151226,ok,longer run?
GW170104,ok,
GW170608,ok,
GW170729,ok,
GW170809,good,
GW170814,good,longer run?
GW170818,bad,
GW170823,ok,
GW190408_181802,ok,
GW190412,bad,
GW190413_052954,good,
GW190413_134308,good,
GW190421_213856,good,
GW190503_185404,good,
GW190512_180714,ok,strange?
GW190513_205428,bad,
GW190517_055101,bad,
GW190519_153544,bad,
GW190521,ok,
GW190521_074359,ok,
GW190527_092055,ok,
GW190602_175927,good,
GW190620_030421,good,
GW190630_185205,good,
GW190701_203306,good,
GW190706_222641,good,
GW190707_093326,bad,
GW190708_232457,ok,
GW190719_215514,bad,
GW190720_000836,,
GW190725_174728,,
GW190727_060333,,
GW190728_064510,,
GW190731_140936,,
GW190803_022701,,
GW190805_211137,,
GW190814,,
GW190828_063405,,
GW190828_065509,,
GW190910_112807,,
GW190915_235702,,
GW190917_114630,,
GW190924_021846,,
GW190925_232845,,
GW190929_012149,,
GW190930_133541,,
GW191103_012549,,
GW191105_143521,,
GW191109_010717,,
GW191127_050227,,
GW191129_134029,,
GW191204_171526,,
GW191215_223052,,
GW191216_213338,,
GW191222_033537,,
GW191230_180458,,
GW200112_155838,,
GW200128_022011,,
GW200129_065458,,
GW200202_154313,,
GW200208_130117,,
GW200209_085452,,
GW200216_220804,,
GW200219_094415,,
GW200224_222234,,
GW200225_060421,,
GW200302_015811,,
GW200311_115853,,
GW200316_215756,,
