Event,Status,Remark
GW150914,done,
GW151012,done,
GW151226,done,
GW170104,done,
GW170608,done,
GW170729,done,
GW170809,done,
GW170814,done,bilby: ran without calibration due to bug
GW170818,done,
GW170823,done,
GW190408_181802,done,
GW190412,done,
GW190413_052954,done,
GW190413_134308,done,
GW190421_213856,done,
GW190503_185404,done,
GW190512_180714,done,
GW190513_205428,done,
GW190517_055101,done,
GW190519_153544,done,
GW190521,done,
GW190521_074359,done,
GW190527_092055,done,
GW190602_175927,done,
GW190620_030421,done,
GW190630_185205,done,
GW190701_203306,done,
GW190706_222641,done,
GW190707_093326,done,
GW190708_232457,done,
GW190719_215514,done,
GW190720_000836,done,
GW190725_174728,done,
GW190727_060333,done,
GW190728_064510,done,
GW190731_140936,done,
GW190803_022701,done,
GW190805_211137,done,
GW190814,done,
GW190828_063405,done,
GW190828_065509,done,
GW190910_112807,done,
GW190915_235702,done,
GW190917_114630,done,
GW190924_021846,done,
GW190925_232845,done,
GW190929_012149,done,
GW190930_133541,done,
GW191103_012549,done,
GW191105_143521,done,
GW191109_010717,done,
GW191127_050227,done,
GW191129_134029,done,
GW191204_171526,done,
GW191215_223052,done,
GW191216_213338,done,
GW191222_033537,done,
GW191230_180458,done,
GW200112_155838,done,
GW200128_022011,done,
GW200129_065458,done,
GW200202_154313,done,
GW200208_130117,done,
GW200209_085452,done,
GW200216_220804,done,
GW200219_094415,done,
GW200224_222234,done,bilby: ran without calibration due to bug
GW200225_060421,done,
GW200302_015811,done,
GW200311_115853,done,
GW200316_215756,done,
